126   325   322   327   289   211   159   121    90    90   124   210   300
127   758   751   697   463   304   255   212   180   184   217   312   509
129   953   945   891   646   462   390   328   282   286   338   466   692
130  1064  1058   998   719   510   430   361   310   315   374   516   773
131   143   142   144   142   133   120   108    95    95   110   131   141
132    30    29    29    23    17    12    10    08    09    11    16    24
134   288   234   209   158   113    93    79    68    66    84   158   252
135   208   188   159   117    89    76    67    59    60    70   109   173
141  1015   830   734   574   430   366   324   290   282   338   548   887
144  1815  1416  1243   959   697   582   514   456   438   548   942  1600
145   117   135   149   112    80    64    58    54    53    57    67    89
148  1558  1220  1072   827   602   504   446   397   382   476   812  1373
149   264   224   201   155   120   104    93    84    83    98   143   225
154   151   156   152   133   124   115   109   105   108   114   118   133
155   319   273   234   153   106    87    71    60    58    74   127   244
156  1420  1318  1101   726   436   329   264   215   210   286   582  1082
158    80    81    85    67    46    39    34    29    26    31    50    76
160    11    11    11    09    07    06    05    05    06    07    07    09
161   177   183   162   107    83    79    64    56    71    90   100   131
164   131   137   120    77    60    57    46    39    49    63    73    95
168  3167  3291  3284  2632  1592  1088   932   824   736   804  1313  2375
169  4533  4751  4570  3626  2192  1501  1254  1086   971  1083  1802  3283
171   105   137   212   186    62    17    11    14    21    22    37    81
172  4575  4866  4828  3929  2365  1559  1282  1119  1000  1078  1732  3228
173  4572  4883  4870  3998  2416  1578  1294  1130  1010  1079  1708  3205
174  4572  4883  4870  3998  2416  1578  1294  1130  1010  1079  1708  3205
175  4572  4883  4870  3998  2416  1578  1294  1130  1010  1079  1708  3205
176  4572  4883  4870  3998  2416  1578  1294  1130  1010  1079  1708  3205
178  4571  4883  4871  3998  2416  1578  1294  1130  1011  1079  1708  3204
183   162   124   112    81    61    52    45    40    40    51    84   140
187   122   123   122   101    87    77    68    62    61    68    86   112
188   794   587   481   331   201   159   135   114   104   164   455   857
190   641   717   758   669   433   302   261   238   233   282   392   522
191  1553  1761  1636  1164   621   429   324   253   238   347   628  1157
196    61    45    45    37    26    20    17    15    14    19    37    58
197    63    62    57    42    32    28    24    21    21    24    34    49
198   126   121   111    82    64    55    48    43    43    50    69   101
199  1115  1112  1051   760   538   453   380   326   330   392   539   807
201    24    24    23    18    12    09    07    06    06    08    12    18
202    10    09    09    07    05    03    03    02    03    03    05    08
203    40    41    38    30    20    15    12    11    11    13    20    30
204   528  1000  1520  1878  2010  1581  1170   783   455   273   195   239
205   212   234   235   187   117    85    67    53    45    59    98   158
206   592   596   562   426   293   229   190   156   144   175   260   427
207   602   607   573   435   299   234   193   160   147   178   264   434
209   734   807   816   634   399   296   232   183   158   198   333   543
211   577   511   454   313   230   193   162   138   142   169   251   422
215   187   235   178   186   253   296   361   373   433   394   234   188
216   237   284   230   212   282   328   371   376   457   485   314   226
217   516   633   498   498   683   797   927   942  1110  1116   695   518
220    62    59    51    64    98   123   134   117   130   148   104    80
222  1203  1276  1133  1023  1320  1648  1541  1249  1449  1965  1484  1184
225   379   476   511   376   187    75    40    25    20    31    76   213
227  1433  1609  1624  1292   886   659   524   444   409   477   698  1082
228  1566  1758  1774  1412   968   720   573   485   446   521   763  1182
229  3663  4305  4506  3624  2309  1475  1044   804   699   881  1469  2562
230  3696  4343  4546  3657  2330  1489  1054   811   705   889  1483  2585
237   749   779   668   438   350   350   273   232   255   313   342   509
238   832   869   747   494   395   395   308   263   286   347   381   563
239   979  1021   884   601   484   480   382   329   353   419   458   671
240  1172  1225  1069   723   583   577   463   403   430   503   547   800
241   262   282   285   230   179   156   139   129   132   150   180   223
242  1257  1317  1145   773   619   614   492   427   454   534   582   853
243  1314  1403  1232   843   661   660   529   461   483   566   613   891
244 10108 10599 10089  7515  5246  4412  3593  3029  2927  3381  4512  7119
245 10531 11065 10524  7887  5568  4722  3879  3310  3200  3659  4812  7462
246 11421 12198 11633  8932  6469  5619  4603  3931  3822  4330  5477  8144
247   285   317   326   251   176   138   115   100   102   125   166   230
248   296   329   339   261   183   144   120   104   106   130   172   239
249   525   551   458   332   309   327   283   234   262   312   294   358
251   311   312   315   237   149   113    89    70    59    71   125   237
252   101   114   112    89    67    57    51    47    48    52    62    81
253  1707  1943  1821  1317   697   471   355   278   261   373   680  1273
254   157   154   152   128    78    53    54    43    29    35    92   195
255   334   229   205   129    68    51    42    35    34    65   194   346
257  3033  3429  3290  2344  1167   764   584   468   445   613  1163  2265
258   399   278   240   152    81    60    51    43    41    75   227   414
259   101   114   112    89    67    57    51    47    48    52    62    81
261   317   353   363   281   197   155   129   112   114   140   184   256
262   148   114   103    74    56    47    42    37    37    47    77   128
263   300   244   218   164   118    97    82    71    69    87   164   262
265    66    53    47    40    30    26    24    21    20    24    39    60
266 14924 16089 15079 11974  9649  9042  7615  6383  6414  7699  8545 11198
267   262   222   200   154   119   104    93    83    83    97   142   225
269   389   585   750  1018  1180  1036   666   417   313   268   266   300
270  1393  1581  1466  1041   552   381   287   222   210   306   557  1039
271  6719  8136  8623  7193  4026  2295  1625  1254  1130  1459  2539  4661
273  4326  4996  5015  3756  1852  1099   790   606   551   769  1530  3089
274  7001  8617  9200  7960  4559  2628  1874  1476  1338  1644  2688  4751
275 14838 20321 23791 23764 15383  7187  4121  2888  2279  2557  4253  8420
276  6513 10064 12486 13114  8712  3611  1774  1099   816   943  1628  3323
277   143   210   320   408   385   265   196   148   128   115   115   120
278   303   345   323   215   122    91    77    68    69    93   131   208
279   482   743   846   759   462   241   141    87    62    60   120   250
280   529  1003  1524  1883  2016  1585  1174   785   456   274   195   239
281    86    91    92    85    77    71    67    64    63    67    72    79
282    99   106   106    90    74    66    60    57    57    63    72    87
283   170   121   117   104    71    60    58    49    43    60   119   179
284   169   209   163   182   250   337   426   426   483   419   236   188
285 23594 30322 35050 33861 26133 18232 11628  7137  5296  6340 10080 16159
286    58    66    57    58    83    96    92    87    98   123    84    63
287 23939 30755 35579 34389 26545 18529 11818  7252  5380  6430 10220 16385
288  8012 13279 18107 21214 15322  7286  2921  1579  1081  1101  1871  3843
289    65    68    69    59    49    44    40    38    38    42    48    57
290   676  1067  1379  1832  2145  2070  1452   960   594   339   246   347
291   495   739   828   728   461   216   100    57    47    54    94   230
292  6826 10881 12303 12115 10957  5686  1821   680   338   415  1074  2943
293  1747  3327  7072 10584  5438  2110  1304  1009   818   762   928  1169
294   241   259   262   211   164   143   128   118   121   138   166   205
295    97   102   109    95    84    79    75    72    71    74    79    87
296    36    38    39    37    34    32    30    30    29    30    31    33
297   533  1012  1538  1900  2034  1599  1184   792   460   276   197   242
298   158   157   159   154   137   120   104    91    91   109   134   154
299   869   864   803   536   353   295   245   208   212   252   362   590
301    30    30    27    18    13    12    10    09    14    18    18    24
302  1186  2397  5804  9099  4366  1600  1100   899   742   685   797   900
303    45    45    46    40    27    17    12    09    10    14    25    41
304    03    04    02    00    00    00    00    00    00    00    00    01
306   188   187   189   182   160   138   119   104   105   125   156   182
313   320   358   362   280   196   154   129   112   115   142   184   258
314   920   918   857   577   381   318   264   225   228   270   386   624
315   178   178   177   166   145   126   109    95    96   114   142   167
316   175   174   175   166   145   126   109    95    96   114   142   166
317    04    04    03    01    00    00    00    00    00    00    00    01
318    65    65    59    41    32    30    25    22    29    37    38    50
